age,count,activity,bot_score_english
4003,165354,41.3075193604796,1
4003,13279,3.31726205345991,0
4003,165293,41.292280789408,0
4003,66,0.0164876342742943,1
4003,6804,1.69972520609543,0
4002,6149,1.53648175912044,0
4002,379129,94.7348825587206,0
4002,790,0.197401299350325,0
4002,7232,1.80709645177411,0
4002,9050,2.26136931534233,0
4003,2108,0.526605046215339,0
4001,46296,11.5711072231942,0
4001,64901,16.2211947013247,0
4002,19305,4.82383808095952,0
4001,44049,11.0094976255936,0
4002,2789,0.696901549225387,0
4002,16544,4.13393303348326,0
4002,539,0.134682658670665,0
4001,145684,36.4118970257436,0
4001,4,0.0009997500624843,0
4001,13789,3.44638840289927,1
4000,8299,2.07475,1
4000,23882,5.9705,1
4001,57161,14.2866783304174,0
4001,5500,1.37465633591602,0
4000,10307,2.57675,0
4000,71522,17.8805,0
3999,7996,1.99949987496874,0
3999,8949,2.23780945236309,0
4000,921,0.23025,0
4000,2564,0.641,0
3999,3954,0.988747186796699,0
3999,7993,1.99874968742186,0
3999,66074,16.5226306576644,1
3999,413,0.103275818954739,0
3999,21983,5.49712428107027,0
3998,6904,1.72686343171586,0
3999,13954,3.48937234308577,0
3998,988,0.24712356178089,0
3999,28311,7.07951987996999,1
3998,165293,41.3439219609805,0
3998,49170,12.2986493246623,0
3998,133967,33.5085042521261,0
3999,4570,1.14278569642411,0
3998,484526,121.192096048024,1
3998,11879,2.9712356178089,1
3999,80520,20.1350337584396,0
3997,78486,19.6362271703778,0
3998,7849,1.9632316158079,0
3997,2836,0.709532149111834,0
3996,23590,5.9034034034034,0
3996,53,0.0132632632632633,0
3996,9972,2.4954954954955,0
3997,26526,6.63647735801851,0
3996,6037,1.51076076076076,0
3996,7763,1.94269269269269,1
3997,1807,0.4520890668001,0
3996,530,0.132632632632633,0
3996,1963,0.491241241241241,0
3997,242768,60.7375531648736,0
3996,3370,0.843343343343343,1
3996,14475,3.62237237237237,0
3996,3143,0.786536536536537,0
3996,121113,30.3085585585586,0
3995,13272,3.32215269086358,0
3996,7169,1.79404404404404,0
3995,12126,3.03529411764706,0
3995,24882,6.22828535669587,0
3995,840,0.21026282853567,0
3995,27078,6.77797246558198,1
3995,28311,7.08660826032541,0
3995,11799,2.95344180225282,0
3994,6579,1.64722083124687,0
3994,3265,0.817476214321482,0
3994,150800,37.7566349524286,0
3994,54496,13.6444667000501,0
3994,17660,4.42163244867301,0
3994,10479,2.62368552829244,0
3994,106054,26.5533299949925,0
3994,4210,1.05408112168252,0
3994,17660,4.42163244867301,0
3993,8381,2.09892311545204,0
3993,9,0.0022539444027047,1
3993,1815,0.454545454545455,0
3993,11982,3.0007513148009,0
3993,160403,40.1710493363386,0
3993,1603,0.40145254194841,0
3993,3416,0.85549711995993,1
3992,17753,4.44714428857715,0
3992,1894,0.474448897795591,0
3992,10124,2.53607214428858,0
3992,4,0.001002004008016,0
3992,5521,1.38301603206413,0
3992,92362,23.1367735470942,0
3991,178,0.0446003507892759,0
3991,49918,12.5076421949386,0
3992,6195,1.55185370741483,0
3991,139869,35.0461037334002,0
3991,165293,41.4164369832122,0
3990,67,0.0167919799498747,0
3990,38421,9.62932330827068,0
3990,37526,9.40501253132832,1
3990,7,0.0017543859649122,0
3990,778,0.194987468671679,1
3990,375083,94.0057644110276,0
3990,165354,41.4421052631579,0
3990,164068,41.1197994987469,0
3989,1524,0.382050639257959,1
3990,47,0.0117794486215539,1
3989,20379,5.10879919779393,1
3989,7839,1.96515417397844,0
3989,5044,1.26447731260968,0
3990,8010,2.00751879699248,0
3989,3706,0.929054900977689,0
3988,8332,2.08926780341023,0
3988,11799,2.9586258776329,0
3989,4833,1.21158185008774,0
3988,3018,0.756770310932798,1
3988,490,0.122868605817452,0
3989,153,0.0383554775632991,0
3988,66820,16.7552657973922,0
3988,31006,7.77482447342026,1
3987,1648,0.413343365939303,0
3987,39780,9.97742663656885,0
3988,181278,45.4558676028084,0
3988,2972,0.745235707121364,1
3988,43,0.0107823470411234,0
3988,10317,2.5870110330993,0
3987,1466,0.36769500877853,0
3988,174974,43.8751253761284,0
3987,49251,12.3528969149737,0
3987,3712,0.931025833960371,0
3987,178,0.0446450965638325,1
3987,14655,3.67569601203913,0
3987,369414,92.6546275395034,0
3987,27947,7.00953097567093,0
3987,40308,10.1098570353649,0
3986,25039,6.28173607626694,0
3987,47210,11.840983195385,0
3987,59681,14.9688989214949,0
3987,31039,7.78505141710559,0
3986,40378,10.1299548419468,0
3986,24882,6.24234821876568,0
3987,25379,6.36543767243542,0
3985,56714,14.231869510665,0
3986,42501,10.6625689914701,0
3986,117844,29.5644756648269,1
3986,22573,5.66307074761666,1
3985,27947,7.01304893350063,0
3985,295,0.0740276035131744,0
3985,36669,9.20175658720201,0
3985,10919,2.74002509410289,1
3985,29996,7.52722710163112,0
3984,570,0.143072289156627,0
3985,1825,0.457967377666249,1
3983,6033,1.51468742154155,0
3984,250610,62.9041164658635,0
3984,12170,3.05471887550201,0
3983,1093,0.274416269143861,0
3984,24661,6.19001004016064,1
3983,61064,15.3311574190309,0
3983,12707,3.19030881245293,0
3983,3378,0.848104443886518,0
3983,14426,3.62189304544313,0
3983,21501,5.39819231734873,1
3983,9278,2.32939994978659,0
3983,31858,7.99849359779061,0
3983,19239,4.83027868440874,0
3983,23436,5.88400702987698,0
3982,18206,4.57207433450527,0
3982,10398,2.61125062782521,0
3982,199578,50.1200401808137,0
3982,6218,1.56152687091914,0
3982,1271,0.319186338523355,0
3982,8589,2.15695630336514,0
3982,5837,1.46584630838774,0
3982,41409,10.3990457056755,0
3982,1840,0.462079357106981,0
3981,7924,1.99045465963326,0
3981,240,0.0602863602110023,0
3981,23342,5.86335091685506,0
3981,4,0.0010047726701833,1
3980,78037,19.6072864321608,0
3981,7020,1.76337603617182,0
3980,1820,0.457286432160804,0
3981,1537,0.38608389851796,0
3980,22801,5.72889447236181,0
3981,212035,53.2617432805828,1
3980,8691,2.18366834170854,1
3980,5626,1.41356783919598,0
3979,24,0.0060316662478009,0
3980,32999,8.29120603015075,0
3980,9604,2.41306532663317,1
3980,4462,1.12110552763819,1
3979,6596,1.6577029404373,0
3979,6140,1.54310128172908,1
3979,36983,9.29454636843428,1
3979,5510,1.3847700427243,0
3979,20967,5.26941442573511,0
3978,3473,0.873051784816491,0
3978,183834,46.2126696832579,0
3977,43959,11.0533065124466,0
